player_id,name,position,age,att,def,pace,phy,ovr,star_power,salary,team_id
1,Amara Adamu,DF,32,39,72,74,68,61,69,879000,
2,Sami Kovac,DF,27,59,79,48,88,69,45,781000,
3,Kofi Diallo,MF,29,78,67,73,50,69,77,1015000,
4,Stefan Adeyemi,GK,19,36,67,48,55,52,53,814000,
5,Kenji Petrov,MF,34,50,75,80,55,64,58,816000,
6,Nikolai Suarez,DF,32,57,65,64,80,65,40,635000,
7,Milan Novak,FW,32,76,48,67,48,60,43,647000,
8,Stefan Lindqvist,MF,23,64,50,91,67,65,48,838000,
9,Radek Barros,MF,33,61,61,49,64,59,59,662000,
10,Kai Ivanov,DF,27,35,63,61,56,52,62,627000,
11,Bruno Haddad,DF,21,35,61,60,75,55,65,772000,
12,Amara Krause,FW,21,89,48,65,62,67,78,972000,
13,Jonas Vidal,DF,29,37,82,63,60,60,51,707000,
14,Youssef Silva,FW,19,67,48,77,45,59,40,629000,
15,Hassan Almeida,MF,21,76,45,92,58,66,67,747000,
16,Luca Vidal,MF,22,74,62,62,84,70,72,823000,
17,Kofi Petrov,GK,21,43,60,62,74,57,49,705000,
18,Luca Larsson,DF,34,35,69,91,64,61,76,1001000,
19,Kai Duarte,MF,34,59,53,68,77,62,79,903000,
20,Diego Vidal,MF,20,69,66,90,48,68,52,797000,
21,Sven Vidal,MF,27,51,68,67,84,65,59,875000,
22,Kai Petrov,GK,27,34,76,75,80,63,47,765000,
23,Luca Fischer,MF,23,52,57,87,51,60,47,727000,
24,Sven Kucera,DF,33,44,80,72,89,69,53,936000,
25,Bruno Ivanov,MF,29,57,57,81,60,62,61,753000,
26,Pavel Fischer,MF,24,68,68,65,57,65,74,912000,
27,Hassan Bauer,DF,24,58,70,59,66,63,74,766000,
28,Enzo Nowak,DF,22,49,62,65,61,58,52,861000,
29,Lars Almeida,FW,33,82,43,85,49,64,62,846000,
30,Kwame Suarez,DF,26,41,86,46,84,64,46,663000,
31,Milan Larsson,FW,32,83,28,94,46,61,54,716000,
32,Marco Neumann,DF,24,44,75,75,73,65,55,944000,
